query,source,url,date,candidate,result,classification,notes
"WebFetch https://www.cancerimagingarchive.net/analysis-result/eay131-tumor-annotations/ (anotadores, estruturas, licenca, DOI)",TCIA,https://www.cancerimagingarchive.net/analysis-result/eay131-tumor-annotations/,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
,IDC,https://portal.imaging.datacommons.cancer.gov/analysis_results/TotalSegmentator-CT-Segmentations,2026-09-06,TotalSegmentator-CT-Segmentations (IDC analysis result sobre NLST),"licenca=CC BY 4.0 (declarada no registro Zenodo  | identidade=COMPLETA (4/4): case_id, StudyInstanceUI | humano=NAO. Saida automatica do TotalSegmentato",F,"NEGATIVO PERFEITO, confirmado exatamente como a hipotese previa. Tem tudo que um dataset auditavel pede — CC BY 4.0, DICOM nativo com StudyInstanceUID e SeriesInstanceUID (as 4 identidades da Fase 19)"
,IDC,https://portal.imaging.datacommons.cancer.gov/analysis_results/nnU-Net-BPR-annotations,2026-09-06,nnU-Net-BPR-annotations (IDC analysis result sobre NLST + NSCLC-Radiomics),"licenca=CC BY 4.0 (registro Zenodo 7975081 / 747 | identidade=COMPLETA (4/4): DICOM SEG + SR no IDC, c | humano=NAO. Zero mencao de revisao ou correcao ",F,"Contem esofago toracico com ontologia certa (SNOMED 32849002, Organ), em DICOM SEG, CC BY 4.0, 985 sujeitos — mas a mascara e saida do nnU-Net v1 Task055_SegTHOR sem revisao humana. Recusa dura. Alem "
,IDC,https://portal.imaging.datacommons.cancer.gov/analysis_results/EAY131-Tumor-Annotations,2026-09-06,EAY131-Tumor-Annotations (NCI-MATCH),licenca=CC BY 4.0 (declarada para anotacoes e im | identidade=COMPLETA (4/4): RTSTRUCT/SEG DICOM no ID | humano=SIM — equipe internacional de radiologis,"E — alvo errado + anotacao ASSISTIDA POR ALGORITMO + licenca das imagens UNKNOWN (reclassificado de C — 'unico item que merece verificacao', humano=SIM)","Tres rebaixamentos independentes, cada um suficiente. (1) Alvo: protocolo RECIST/PERCIST, no maximo 2 lesoes por orgao, zero mencao a orgao-em-risco — confirmado por leitura propria. (2) Procedencia: "
,IDC,https://portal.imaging.datacommons.cancer.gov/analysis_results/BAMF-AIMI-Annotations,2026-09-06,BAMF-AIMI-Annotations (v1 Zenodo 10081112 e v2 Zenodo 13244892),licenca=CC BY 4.0 (declarada nos dois registros  | identidade=COMPLETA (4/4) em DICOM SEG no IDC — irr | humano=PARCIAL e insuficiente: ~10% revisado/co,E,"Descartado por AUSENCIA DE ALVO, antes mesmo da questao de provenance: nenhuma versao inclui esofago (v1: mama, rim, figado, pulmao/nodulo, prostata; v2 acrescenta cerebro e colon). Mesmo se incluisse"
,IDC,https://portal.imaging.datacommons.cancer.gov/analysis_results/NLSTSeg,2026-09-06,NLSTSeg / NLST-Sybil / Lung-PET-CT-Dx-Annotations (as tres reanotacoes HUMANAS toracicas do canal),"licenca=UNKNOWN — nao declarada nas paginas do p | identidade=COMPLETA (4/4) — DICOM SEG/SR no IDC | humano=SIM, expert — mas de lesao/tumor, nunca ",E,"Sao exatamente o padrao que a Fase 11 procurava — segundo grupo reanotando exames publicos, com expert humano, em DICOM, com identidade completa. E mesmo assim inuteis: TODAS anotam LESAO. NLSTSeg = s"
,arXiv,https://arxiv.org/pdf/1912.05950,2026-09-06,"SegTHOR (ISBI 2019) — lead externo ao canal, herdado por rastreio de proveniencia",licenca=UNKNOWN — nao lida na fonte primaria. In | identidade=PARCIAL (2/4) provavel — distribuicao em | humano=SIM — anotacao manual por radio-oncologi,D,"Apareceu por rastreio: e a fonte do GT que treinou o nnU-Net usado no IDC. Bate o alvo com precisao rara — esofago TORACICO, contorno MANUAL por radio-oncologista seguindo criterios RTOG, junto com co"
"WebSearch: ""Imaging Data Commons IDC DICOM UID persistence across versions StudyInstanceUID SeriesInstanceUID""",IDC,,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebSearch: ""TCIA de-identification knowledge base DICOM tags removed remapped policy""",TCIA,,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebSearch: ""TCIA NBIA Data Retriever md5hashes.csv checksum verify downloaded files""",TCIA,,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebSearch: ""canceridc.dev IDC downloading data manifest s5cmd checksum crc32c md5 integrity""",IDC,,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebSearch: ""IDC BigQuery dicom_all \""instance_hash\"" OR \""instance_size\"" crdc_instance_uuid schema auxiliary_metadata""",IDC,,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebSearch: ""TCIA REST API v2 getSeries ImageCount getSeriesSize getSOPInstanceUIDs documentation""",TCIA,,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebSearch: ""Zenodo REST API file checksum md5 record files documentation""",Zenodo,,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebSearch: ""Imaging Data Commons converted DICOM segmentations new UIDs generated \""analysis results\"" provenance nifti to DICOM""",outra,,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebSearch: ""IDC \""Imaging Data Commons\"" data ingestion \""as is\"" instances revised corrected non-conformance changed between versions release notes""",IDC,,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebSearch: ""dcm2niix BIDS sidecar JSON SeriesInstanceUID StudyInstanceUID anonymize \""-ba\"" option""",outra,,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebFetch: https://wiki.cancerimagingarchive.net/display/Public/Submission+and+De-identification+Overview — prompt: perfil de confidencialidade aplicado; tratamento de Study/Series/SOPInstanceUID (removido, retido ou remapeado); remapeamento de PatientID; tratamento de datas",TCIA,https://wiki.cancerimagingarchive.net/display/Public/Submission+and+De-identification+Overview,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebFetch: https://wiki.cancerimagingarchive.net/display/Public/De-identification+Knowledge+Base — prompt: quais tags removidas/retidas/modificadas, tratamento de UID, links para o dicionario de private tags",TCIA,https://wiki.cancerimagingarchive.net/display/Public/De-identification+Knowledge+Base,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
WebFetch: https://learn.canceridc.dev/data/data-versioning — prompt: versionamento do IDC; UIDs DICOM preservados entre versoes?; identificadores estaveis (crdc_instance_uuid),IDC,https://learn.canceridc.dev/data/data-versioning,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebFetch: https://learn.canceridc.dev/data/data-versioning — prompt (2a passada, verbatim): citar palavra por palavra toda frase com DICOM UID / SOPInstanceUID / StudyInstanceUID / SeriesInstanceUID e o que acontece quando uma instancia e revisada",outra,https://learn.canceridc.dev/data/data-versioning,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebFetch: https://learn.canceridc.dev/data/organization-of-data/guids-and-uuids — prompt: o que sao CRDC GUIDs/UUIDs, relacao com UIDs DICOM, persistencia/resolucao, especificidade de versao",outra,https://learn.canceridc.dev/data/organization-of-data/guids-and-uuids,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebFetch: https://learn.canceridc.dev/portal/cohort-manifests — prompt: quais campos/colunas os manifestos IDC contem; incluem SOPInstanceUID/SeriesInstanceUID/StudyInstanceUID, checksums, tamanhos, contagens?",IDC,https://learn.canceridc.dev/portal/cohort-manifests,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
WebFetch: https://learn.canceridc.dev/data/organization-of-data — prompt: como o IDC organiza dados; armazenamento DICOM original; declaracao sobre modificar ou regerar arquivos/UIDs,IDC,https://learn.canceridc.dev/data/organization-of-data,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebFetch: https://raw.githubusercontent.com/ImagingDataCommons/IDC-Docs/prod/data/organization-of-data/bigquery-tables.md — prompt: descricoes de schema de instance_hash, instance_size, crdc_instance_uuid, crdc_series_uuid, crdc_study_uuid, gcs_url, SOPInstanceUID, SeriesInstanceUID, StudyInstanceUI",IDC,https://raw.githubusercontent.com/ImagingDataCommons/IDC-Docs/prod/data/organization-of-data/bigquery-tables.md,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebFetch: https://wiki.cancerimagingarchive.net/display/NBIA/8.1+Downloading+Images+Using+the+NBIA+Data+Retriever — prompt: md5hashes.csv, verificacao de checksum, conteudo do manifesto .tcia, contagem de arquivos por serie, organizacao de pastas",TCIA,https://wiki.cancerimagingarchive.net/display/NBIA/8.1+Downloading+Images+Using+the+NBIA+Data+Retriever,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebFetch: https://wiki.cancerimagingarchive.net/display/Public/NBIA+Search+REST+API+Guide — prompt: endpoints e nomes exatos de campos retornados; getSeries (ImageCount?), getSeriesSize, getSOPInstanceUIDs, getPatient, getStudy; algum endpoint retorna checksum/hash",TCIA,https://wiki.cancerimagingarchive.net/display/Public/NBIA+Search+REST+API+Guide,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebFetch: https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_C.8.8.5.html — prompt: nomes e tags exatos na hierarquia Referenced Frame of Reference Sequence; RT Referenced Study Sequence; RT Referenced Series Sequence; Series Instance UID (0020,000E) aparece ali?",outra,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_C.8.8.5.html,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
WebFetch: https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_C.8.8.6.html — prompt: ROI Contour Module; nomes e tags exatos de Contour Image Sequence e Referenced SOP Class UID / Referenced SOP Instance UID,outra,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_C.8.8.6.html,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebFetch: https://idc-index.readthedocs.io/en/latest/indices_reference.html — prompt: colunas da tabela index principal; SeriesInstanceUID, StudyInstanceUID, PatientID, SOPInstanceUID, instanceCount, series_size_MB, crdc_series_uuid, coluna md5/hash?",IDC,https://idc-index.readthedocs.io/en/latest/indices_reference.html,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebFetch: https://idc-index.readthedocs.io/en/latest/column_descriptions.html — prompt: colunas do indice idc-index (pagina substituida, redirecionada para indices_reference)",IDC,https://idc-index.readthedocs.io/en/latest/column_descriptions.html,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebFetch: https://github.com/rordenlab/dcm2niix/blob/master/BIDS/README.md — prompt: citar verbatim sobre anonimizacao, SeriesInstanceUID, StudyInstanceUID e quais campos sao excluidos do sidecar JSON BIDS por padrao",GitHub,https://github.com/rordenlab/dcm2niix/blob/master/BIDS/README.md,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
WebFetch: https://wiki.cancerimagingarchive.net/display/Public/TCIA+API+Guide — HTTP 404 (ver lacunas),TCIA,https://wiki.cancerimagingarchive.net/display/Public/TCIA+API+Guide,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
WebFetch: https://raw.githubusercontent.com/ImagingDataCommons/IDC-Docs/prod/data/organization-of-data/data-versioning.md — HTTP 404 (ver lacunas),IDC,https://raw.githubusercontent.com/ImagingDataCommons/IDC-Docs/prod/data/organization-of-data/data-versioning.md,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"WebFetch: https://learn.canceridc.dev/data/organization-of-data/data-versioning — HTTP 404, URL canonica e /data/data-versioning (ver lacunas)",outra,https://learn.canceridc.dev/data/organization-of-data/data-versioning,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
WebFetch: https://manpages.ubuntu.com/manpages//focal/man1/dcm2niix.1.html — HTTP 503 (ver lacunas),outra,https://manpages.ubuntu.com/manpages//focal/man1/dcm2niix.1.html,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"curl AO VIVO: https://zenodo.org/api/records/1261813 — inspecao de metadados de registro (doi, conceptdoi, license)",Zenodo,https://zenodo.org/api/records/1261813,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"curl AO VIVO: https://zenodo.org/api/records/1261813/files — inspecao de campos de arquivo: confirmou ""checksum"": ""md5:..."", size, file_id, version_id",Zenodo,https://zenodo.org/api/records/1261813/files,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
curl AO VIVO: https://huggingface.co/api/datasets/mnist/tree/main?recursive=true — retornou redirecionamento para ylecun/mnist,HuggingFace,https://huggingface.co/api/datasets/mnist/tree/main?recursive=true,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"curl AO VIVO: https://huggingface.co/api/datasets/ylecun/mnist/tree/main?recursive=true — confirmou lfs.oid (sha256), oid git (sha1), xetHash, size por arquivo",HuggingFace,https://huggingface.co/api/datasets/ylecun/mnist/tree/main?recursive=true,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
curl AO VIVO: https://api.figshare.com/v2/articles/1314459 — confirmou supplied_md5 e computed_md5 por arquivo,Figshare,https://api.figshare.com/v2/articles/1314459,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
"curl AO VIVO: https://services.cancerimagingarchive.net/nbia-api/services/v1/getSeries?Collection=LCTSC&Modality=RTSTRUCT — confirmou SeriesInstanceUID, StudyInstanceUID, PatientID, ImageCount, FileSize, LicenseName, LicenseURI, CollectionURI por serie",TCIA,https://services.cancerimagingarchive.net/nbia-api/services/v1/getSeries?Collection=LCTSC&Modality=RTSTRUCT,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
curl + grep local: https://raw.githubusercontent.com/ImagingDataCommons/IDC-Docs/prod/data/data-release-notes.md (92.991 bytes) — grep -i 'UID|reconvert|hash|checksum'; achou a linha 593 sob a secao 'v19 - September 2024',IDC,https://raw.githubusercontent.com/ImagingDataCommons/IDC-Docs/prod/data/data-release-notes.md,2026-09-06,,consulta registrada,,ARM 4 — Quais canais preservam identidade: o que TCIA/IDC re
,TCIA,https://wiki.cancerimagingarchive.net/display/NBIA/8.1+Downloading+Images+Using+the+NBIA+Data+Retriever,2026-09-06,CANAL: TCIA / NBIA — download DICOM direto (Data Retriever + REST API),"licenca=VARIA POR SERIE — a API retorna LicenseN | identidade=case_id (PatientID), study_id (StudyInst | humano=N/A — canal, nao dataset. O canal transp",A,"NOTA: a letra aqui classifica o CANAL quanto a identidade entregue, nao a admissibilidade de um dataset. Entrega DICOM com PatientID, StudyInstanceUID, SeriesInstanceUID e SOPInstanceUID intactos no a"
,web,https://learn.canceridc.dev/data/organization-of-data/bigquery-tables,2026-09-06,CANAL: NCI Imaging Data Commons (IDC) — buckets GCS/AWS + BigQuery dicom_all,"licenca=VARIA POR SERIE — coluna license_short_n | identidade=case_id (PatientID), study_id (StudyInst | humano=N/A — canal, nao dataset. O IDC hospeda ",A,"Melhor canal auditavel dos testados, com UMA ressalva grave. Entrega tudo do TCIA MAIS: md5 publicado em cinco niveis (instance/series/study/patient/collection), instance_size em bytes, crdc_*_uuid ve"
,web,https://learn.canceridc.dev/portal/cohort-manifests,2026-09-06,CANAL: manifesto exportado do portal IDC (s5cmd / CSV / BigQuery),"licenca=Nao consta no manifesto s5cmd/CSV. Tem q | identidade=case_id, study_id, series_id, instance_u | humano=N/A — canal, nao dataset.",B,"Entrega PatientID, collection_id, StudyInstanceUID, SeriesInstanceUID, source_DOI, study_uuid, series_uuid, instance_uuid e gcs_url — mas SOPInstanceUID so na exportacao para BigQuery, e NENHUM checks"
,Zenodo,https://zenodo.org/api/records/1261813/files,2026-09-06,"CANAL: Zenodo (DOI versionado, arquivos NIfTI/ZIP)","licenca=Declarada pelo depositante no campo meta | identidade=case_id (derivado de nome de arquivo, co | humano=N/A — canal. Depende inteiramente do dat",D,"Verificado AO VIVO: a API entrega checksum md5 por arquivo, size, file_id e version_id (UUIDs internos), DOI de versao e DOI de conceito. Integridade e citabilidade sao BOAS. O que se perde e a identi"
,Figshare,https://api.figshare.com/v2/articles/1314459,2026-09-06,CANAL: Figshare,"licenca=Declarada pelo depositante nos metadados | identidade=case_id (nome de arquivo, convencao do p | humano=N/A — canal.",D,"Verificado AO VIVO: entrega supplied_md5 E computed_md5 por arquivo — dois campos independentes, cuja divergencia e por si so um achado de procedencia (o depositante declarou um hash, o repositorio ca"
,HuggingFace,https://huggingface.co/api/datasets/ylecun/mnist/tree/main?recursive=true,2026-09-06,CANAL: HuggingFace Datasets (Git-LFS),"licenca=Campo license no card do dataset, declar | identidade=case_id (nome de arquivo/caminho), sha25 | humano=N/A — canal. Risco adicional: e o canal ",D,"UNICO canal nao-DICOM testado que publica SHA-256 NATIVAMENTE — verificado ao vivo: arquivos LFS trazem lfs.oid (sha256 do conteudo pelo padrao git-lfs), alem de oid git (sha1) e xetHash. Para o campo"
,GitHub,https://github.com/rordenlab/dcm2niix/blob/master/BIDS/README.md,2026-09-06,CANAL: NIfTI convertido com dcm2niix em configuracao padrao (qualquer host),licenca=N/A — e uma ferramenta de conversao. A l | identidade=case_id (o que o publicador colocou no n | humano=N/A — ferramenta.,F,"Este nao e um repositorio, e a CAUSA RAIZ da perda medida na Fase 19. O dcm2niix, por padrao (-ba y), classifica SeriesInstanceUID (0020,000E) e StudyInstanceUID (0020,000D) como informacao privada e "
"WebFetch — https://www.cancerimagingarchive.net/collection/pediatric-ct-seg/ (licenca exata, DOI, n de sujeitos, quem anotou, estruturas, protocolo, data usage policy)",TCIA,https://www.cancerimagingarchive.net/collection/pediatric-ct-seg/,2026-09-06,,consulta registrada,,ARM 1 — Fase 20 — As tres colecoes DICOM restantes do censo 
"WebFetch — https://www.cancerimagingarchive.net/collection/4d-lung/ (licenca exata, DOI, n de sujeitos/estudos/series, RTSTRUCT e quem contornou, estruturas, protocolo)",TCIA,https://www.cancerimagingarchive.net/collection/4d-lung/,2026-09-06,,consulta registrada,,ARM 1 — Fase 20 — As tres colecoes DICOM restantes do censo 
